Norm,Art,Ap,Sub,Nº,Descripció,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
RGC,16,,A,1,REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA SENSE RESPECTAR LES DISPOSICIONS SOBRE LA PARADA I L'ESTACIONAMENT ,6,100,90,L,N,0,,5788
RGC,16,,A,2,REALITZAR A LA VIA OPERACIONES DE CÀRREGA I DESCÀRREGA SENSE RESPECTAR LES DISPOSICIONS DE LES AUTORITATS MUNICIPALS SOBRE HORES I LLOCS ADEQUATS,6,100,90,L,N,0,,5789
RGC,16,,B,1,"REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA SENSE FER-HO, ESSENT POSSIBLE, PEL COSTAT DEL VEHICLE MÉS PROPER AL COSTAT DE LA CALÇADA",6,100,90,L,N,0,,5790
RGC,16,,C,1,REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA SENSE MITJANS SUFICIENTS PER ACONSEGUIR LA MÀXIMA CELERITAT ,6,100,90,L,N,0,,5791
RGC,16,,C,2,REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA DE MANERA QUE ES PRODUEIXEN SOROLLS O MOLÈSTIES INNECESSARIS ,6,100,90,L,N,0,,5792
RGC,16,,C,3,"REALITZAR A LA VIA OPERACIONS DE CÀRREGA I DESCÀRREGA DE MANERA QUE ES DIPOSITA LA MERCADERIA A LA CALÇADA, AL VORAL O A LA ZONA DE VIANANTS",6,100,90,L,N,0,,5793
RGC,17,1,,1,CONDUIR SENSE LA PRECAUCIÓ NECESSÀRIA DAVANT LA PROXIMITAT D'ALTRES USUARIS DE LA VIA ,6,100,90,L,N,0,,5794
RGC,17,1,,2,"CONDUIR SENSE ESPECIAL PRECAUCIÓ DAVANT LA PROXIMITAT DE NENS, PERSONES DE LA TERCERA EDAT, INVIDENTS O AMB DISCAPACITAT",6,100,90,L,N,0,,5795
RGC,18,1,,1,CIRCULAR AMB UN VEHICLE UTILITZANT PANTALLES VISUALS IN COMPATIBLES AMB L'ATENCIÓ PERMANENT A LA CONDUCCIÓ. ,200,200,200,L,N,3,,5692
RGC,18,1,,2,CONDUIR UN VEHICLE SENSE MANTENIR LA PRÒPIA LLIBERTAT DE MOVIMENTS ,6,100,90,L,N,0,,5796
RGC,18,1,,3,CONDUIR UN VEHICLE SENSE MANTENIR EL CAMP NECESSARI DE VISIÓ ,6,100,90,L,N,0,,5797
RGC,18,1,,4,CONDUIR UN VEHICLE SENSE MANTENIR L'ATENCIÓ PERMANENT A LA CONDUCCIÓ ,6,100,90,L,N,0,,5798
RGC,18,1,,5,"CONDUIR UN VEHICLE SENSE MANTENIR LA POSICIÓ ADEQUADA O SEN- SE FER-LA MATENIR ALS PASSATGERS, O COL.LOCANT ELS OBJECTES O ELS ANIMALS DE MANERA QUE INTERFEREIXEN LA CONDUCCIÓ",6,100,90,L,N,0,,5799
RGC,18,2,,1,CONDUIR UTILITZANT DISPOSITIUS DE TELEFONIA MÒBIL O QUALSE VOL ALTRE SISTEMA DE COMUNICACIÓ QUE REQUEREIX INTERVEN CIÓ MANUAL DEL CONDUCTOR,200,200,200,L,N,3,,5569
RGC,18,2,,2,CONDUIR UTILITZANT CASCOS O AURICULARS CONNECTATS A APA RELLS RECEPTORS O REPRODUCTORS DE SO. ,200,200,200,L,N,3,,5697
RGC,18,2,,3,CONDUIR UNA BICICLETA UTILITZANT DISPOSITIUS DE TELEFONIA MÒBIL O QUALSEVOL ALTRE SISTEMA DE COMUNICACIÓ QUE REQUEREIX INTERVENCIÓ MANUAL DEL CONDUCTOR,200,200,200,L,N,0,,15259
RGC,18,2,,4,CONDUIR UNA BICICLETA UTILITZANT CASCOS O AURICULARS CONNECTATS A APARELLS RECEPTORS O REPRODUCTORS DE SO ,200,200,200,L,N,0,,16047
RGC,18,2,,7,CONDUIR UN VMP UTILITZANT DISPOSITIUS DE TELEFONIA MÒBIL O QUALSEVOL ALTRE SISTEMA DE COMUNICACIÓ QUE REQUEREIX INTERVENCIÓ MANUAL DEL CONDUCTOR,200,200,200,L,N,0,,19630
RGC,18,2,,8,CONDUIR UN VMP UTILITZANT CASCOS O AURICULARS CONNECTATS A APARELLS RECEPTORS O REPRODUCTORS DE SO ,200,200,200,L,N,0,,19631
RGC,18,3,,4,EMETRE O FER SENYALS DE FORMA ENCAMINADA A ELUDIR LA VIGILÀNCIA DELS AGENTS DE TRÀNSIT ,200,200,200,L,N,0,,20921
RGC,19,1,,1,"CIRCULAR AMB UN VEHICLE, LA SUPERFÍCIE DE CRISTALL DEL QUAL NO PERMET AL SEU CONDUCTOR LA VISIBILITAT DIÀFANA SOBRE TOTA LA VIA, PER LA COL.LOCACIÓ DE LÀMINES O ADHESIUS",200,200,200,L,N,0,,9311
RGC,19,2,,1,COL.LOCAR EN UN VEHICLE VIDRES FUMATS O ACOLORITS NO HOMOLOGATS ,200,200,200,L,N,0,,10732
RGC,20,1,,41,"CONDUIR UNA BICICLETA AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,25 FINS A 0,50 MIL.LIGRAMS PER LITRE ",500,"1.000,00",500,C,N,0,8,24608
RGC,20,1,,42,"CONDUIR UN VMP AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,25 FINS A 0,50 MIL.LIGRAMS PER LITRE ",500,"1.000,00",500,L,N,0,8,24609
RGC,20,1,,43,"CONDUIR UN VMP (VEHICLE DE MOBILITAT PERSONAL) AMB UNA TAXA D'ALCOHOL EN AIRE ESPIRAT SUPERIOR A 0,50 MIL.LIGRAMS PER LITRE","1.000,00","1.000,00","1.000,00",L,N,0,9,24610
